Año,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
2018,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1619.28,15.266,102
2018,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2013.95,236.724,66
2017,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.84,1888.9,15.99,1886.27,10.532,66
2017,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.11,1.183,58
2017,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.5,16.477,102
2017,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1942.45,10.975,100
2017,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1828.4,1.929,36
2017,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1614.75,7.9,53
2017,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2011.66,195.988,55
2016,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.84,1888.9,15.99,1885.21,8.737,55
2016,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.16,1.189,58
2016,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.48,16.419,101
2016,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1942.43,10.961,100
2016,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1831.87,3.243,60
2016,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1616.06,9.846,66
2016,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2012.78,205.058,57
2015,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.84,1888.9,15.99,1882.72,5.331,33
2015,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2087.37,1.334,65
2015,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.89,17.6,109
2015,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1942.47,10.989,100
2015,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1836.01,5.372,100
2015,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1619.35,15.5,103
2015,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2011.28,181.268,51
2014,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,1890,18.84,1888.9,15.99,1884.34,7.292,46
2014,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2093,2.1,2092.6,2.038,2086.93,1.282,63
2014,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.67,16.966,105
2014,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1943.4,11.4,1942.45,10.975,1941.99,10.643,97
2014,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1837.76,6.528,1836,5.366,1834.06,4.278,80
2014,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1621.96,21.196,1619.2,15,1616.26,10.166,68
2014,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,2022,407.438,2020,358.121,2006.6,114.2,32
